name,error,ourFnSub,sbFnSub,ourWeekPaid,sbWeekPaid,ourWeekOop,sbWeekOop,ourFnOop,sbFnOop,ourFnFees,sbFnFees,ourPct,sbShownPct,unmodelled,dFnSub,dWeekPaid,dWeekOop,dFnOop,dFnFees,pass
edge income 0 one child,,810,810,384.75,384.75,65.25,65.25,130.5,130.5,900,900,90,90,,0,0,0,0,0,true
edge income 88519 one child,,810,810,384.75,384.75,65.25,65.25,130.5,130.5,900,900,90,90,,0,0,0,0,0,true
edge income 88520 one child,,810,810,384.75,384.75,65.25,65.25,130.5,130.5,900,900,90,90,,0,0,0,0,0,true
edge income 88521 one child,,810,810,384.75,384.75,65.25,65.25,130.5,130.5,900,900,90,90,,0,0,0,0,0,true
edge income 146436 one child,,705.6,705.6,335.16,335.16,114.84,114.84,229.68,229.68,900,900,78.42,78,,0,0,0,0,0,true
edge income 146437 one child,,705.6,705.6,335.16,335.16,114.84,114.84,229.68,229.68,900,900,78.42,78,,0,0,0,0,0,true
edge income 146438 one child,,705.6,705.6,335.16,335.16,114.84,114.84,229.68,229.68,900,900,78.42,78,,0,0,0,0,0,true
edge income 191436 one child,,624.6,624.6,296.69,296.69,153.32,153.32,306.63,306.63,900,900,69.42,69,,0,0,0,0,0,true
edge income 191437 one child,,624.6,624.6,296.69,296.69,153.32,153.32,306.63,306.63,900,900,69.42,69,,0,0,0,0,0,true
edge income 270726 one child,,481.8,481.8,228.86,228.86,221.15,221.15,442.29,442.29,900,900,53.56,54,,0,0,0,0,0,true
edge income 270727 one child,,481.8,481.8,228.86,228.86,221.15,221.15,442.29,442.29,900,900,53.56,54,,0,0,0,0,0,true
edge income 360726 one child,,319.8,319.8,151.91,151.91,298.1,298.1,596.19,596.19,900,900,35.56,36,,0,0,0,0,0,true
edge income 370725 one child,,301.8,301.8,143.35,143.35,306.65,306.65,613.29,613.29,900,900,33.56,34,,0,0,0,0,0,true
edge income 370726 one child,,301.8,301.8,143.35,143.35,306.65,306.65,613.29,613.29,900,900,33.56,34,,0,0,0,0,0,true
edge income 538519 one child,,0,0,0,0,450,450,900,900,900,900,0,0,,0,0,0,0,0,true
edge income 538520 one child,,0,0,0,0,450,450,900,900,900,900,0,0,,0,0,0,0,0,true
edge income 538521 one child,,0,0,0,0,450,450,900,900,900,900,0,0,,0,0,0,0,0,true
edge income 100000 two under 6,,1644.6,1644.6,781.19,781.19,118.82,118.82,237.63,237.63,1800,1800,87.7,88,,0,0,0,0,0,true
edge income 150000 two under 6,,1543.8,1543.8,733.31,733.31,166.7,166.7,333.39,333.39,1800,1800,77.7,78,,0,0,0,0,0,true
edge income 200000 two under 6,,1329.6,1329.6,631.56,631.56,268.44,268.44,536.88,536.88,1800,1800,67.7,68,,0,0,0,0,0,true
edge income 300000 two under 6,,1061.4,1061.4,504.17,504.17,395.84,395.84,791.67,791.67,1800,1800,47.7,48,,0,0,0,0,0,true
edge income 365000 two under 6,,762.6,762.6,362.24,362.24,537.77,537.77,1075.53,1075.53,1800,1800,34.7,35,,0,0,0,0,0,true
edge income 371000 two under 6,,603.6,603.6,286.7,286.7,613.3,613.3,1226.58,1226.58,1800,1800,33.5,34,,0,0,0,0,0,true
edge fee below cap,,602.4,602.4,286.14,286.14,73.86,73.86,147.72,147.72,720,720,83.7,84,,0,0,0,0,0,true
edge fee at cap,,762.6,762.6,362.24,362.24,93.47,93.47,186.93,186.93,911.4,911.4,83.7,84,,0,0,0,0,0,true
edge fee above cap,,762.6,762.6,362.24,362.24,237.77,237.77,475.53,475.53,1200,1200,83.7,84,,0,0,0,0,0,true
edge participation 48 → 72 hrs,,904.32,904.32,429.55,429.55,320.45,320.45,640.9,640.9,1500,1500,83.7,84,,0,0,0,0,0,true
edge participation 49 → 100 hrs,,1256,1256,596.6,596.6,153.4,153.4,306.8,306.8,1500,1500,83.7,84,,0,0,0,0,0,true
edge single parent,,810,810,384.75,384.75,65.25,65.25,130.5,130.5,900,900,90,90,,0,0,0,0,0,true
edge school-age OSHC,,251.1,251.1,119.27,119.27,30.73,30.73,61.46,61.46,300,300,83.7,84,,0,0,0,0,0,true
edge FDC,,652.8,652.8,310.08,310.08,79.92,79.92,159.84,159.84,780,780,83.7,84,,0,0,0,0,0,true
edge 12hr session over 100 hrs,,1046,1046,496.85,496.85,253.15,253.15,506.3,506.3,1500,1500,83.7,84,,0,0,0,0,0,true
edge three children mixed,,1528.86,1528.86,726.22,726.22,263.8,263.8,527.58,527.58,1980,1980,71.7,72,,0,0,0,0,0,true
gen-0,,786.2,786.2,373.45,373.45,1551.56,1551.56,3103.11,3103.11,3850,3850,90,90,,0,0,0,0,0,true
gen-1,,534.6,534.6,253.94,253.94,43.07,43.07,86.13,86.13,594,594,90,90,,0,0,0,0,0,true
gen-2,,861.84,861.84,409.38,409.38,235.63,235.63,471.25,471.25,1290,1290,90,90,,0,0,0,0,0,true
gen-3,,732.06,732.06,347.74,347.74,275.28,275.28,550.54,550.54,1246,1246,90,90,,0,0,0,0,0,true
gen-4,,952.8,952.8,452.58,452.58,299.42,299.42,598.84,598.84,1504,1504,78.42,78,,0,0,0,0,0,true
gen-5,,779.04,779.04,370.05,370.05,181.96,181.96,363.91,363.91,1104,1104,78.42,78,,0,0,0,0,0,true
gen-6,,1268.72,1268.72,602.64,602.64,300.36,300.36,600.72,600.72,1806,1806,78.42,78,,0,0,0,0,0,true
gen-7,,73.84,73.84,35.08,35.08,143.93,143.93,287.85,287.85,358,358,69.42,69,,0,0,0,0,0,true
gen-8,,1132.26,1132.26,537.83,537.83,947.19,947.19,1894.36,1894.36,2970,2970,69.42,69,,0,0,0,0,0,true
gen-9,,1321.6,1321.6,627.77,627.77,324.25,324.25,648.48,648.48,1904,1904,69.42,69,,0,0,0,0,0,true
gen-10,,858.64,391.36,407.86,185.9,659.15,336.11,1318.29,672.21,2134,1044,53.56,54,3,467.28,221.96,323.04,646.08,1090,false
gen-11,,490.08,490.08,232.79,232.79,576.22,576.22,1152.43,1152.43,1618,1618,53.56,54,,0,0,0,0,0,true
gen-12,,1673.4,1673.4,794.87,794.87,776.14,776.14,1552.27,1552.27,3142,3142,53.56,54,,0,0,0,0,0,true
gen-13,,129.6,129.6,61.56,61.56,151.44,151.44,302.88,302.88,426,426,35.56,36,,0,0,0,0,0,true
gen-14,,256.08,256.08,121.64,121.64,238.36,238.36,476.72,476.72,720,720,35.56,36,,0,0,0,0,0,true
gen-15,,345.6,345.6,164.16,164.16,321.84,321.84,643.68,643.68,972,972,35.56,36,,0,0,0,0,0,true
gen-16,,357.14,357.14,169.65,169.65,634.37,634.37,1268.72,1268.72,1608,1608,33.56,34,,0,0,0,0,0,true
gen-17,,707.76,707.76,336.18,336.18,1137.82,1137.82,2275.63,2275.63,2948,2948,33.56,34,,0,0,0,0,0,true
